Questions;Reponses
 Comment ajouter une garantie ?;"Pour ajouter une garantie, rendez vous dans la rubrique mes contrats de votre espace personnel puis ""nous contacter"" afin de formuler votre demande"
Quelles délai indemnisation en cas de vol ?;A compter de la date du vol du véhicule, le délai d'attente de 30 jours commence à courir. Pendant ce temps l'expert vous contactera pour préparer le dossier et Si le véhicule n'est pas retrouvé à l'issue de ce délai, l'expert revidendra vers vous pour les formalites de cession du véhicule et notre règlement interviendra en moins d'une semaine.
Comment retirer une garantie ?;"Pour ajouter une garantie, rendez vous dans la rubrique mes contrats de votre espace personnel puis ""nous contacter"" afin de formuler votre demande"
 Comment obtenir mon relevé d’information ?;"Pour ajouter une garantie, rendez vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur ""nous contacter"" afin de formuler votre demande"
Comment changer d'option ?;"Pour changer d'option, rendez vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur ""nous contacter"" afin de formuler votre demande"
 Comment désigner mon enfant en conduite accompagnée ?;Dans son livret d'apprentissage, une page spécifique est prévue pour la déclaration à l'assurance. Il vous sufffit de nous transmettre un scan de ce document, nous vous le retournerons complété et signé.
Comment retirer mes options ?;"Pour retirer une option, rendez vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur""nous contacter"" afin de formuler votre demande"
Suis-je couvert si je conduis le véhicule d’un tiers ?;si vous conduisez le véhicule d'un tiers, vous n'êtes pas couvert, c'est le propriétaire du véhicule qui engage sa responsabilité
Comment changer de voiture ?;"Pour changer de voiture, rendez vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur ""nous contacter"" afin de formuler votre demande"
Comment réparer un impact sur mon pare-brise ?;En cas de bris de glace, vous pouvez vous rendre directement chez notre partenaire France Pare Brise qui jugera si l'impact est réparable, ou si il faut procéder à un remplacement. Il s'occupera de la vérification de la garantie auprès de nos services, et des formalités.
Comment se passe l’expertise ?;Votre véhicule doit être déposé chez un professionnel, de votre choix, ou bien un de nos garages agréés. Si votre véhicule est réparable, l'expert passera au garage. En lien avec le réparateur, il chiffrera la remise en état, et il lui délivrera une prise en charge. Nous règlerons directement le garage et vous n'aurez que votre franchise à régler. Si votre véhicule n'est pas réparable, l'expert vous fera une proposition d'indemnisation.
Puis-je changer mon type de prélèvement ?;"Pour changer votre type de pérlèvement, rendez vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur ""nous contacter"" afin de formuler votre demande"
Puis-je changer de formule ?;"Pour changer de formule, rendez vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur ""nous contacter"" afin de formuler votre demande"
Quelle prise en charge en cas d’accident responsable ?;En cas d'accident responsable, votre garantie responsabilité civile prendra en charge les dommages causés aux tiers. Pour les dommages subis par votre véhicule, seule la garantie dommage tout accident peut intervenir, il est donc indispensable d'être assuré en formule tous risques. Il en est de même pour les dommages corporels subis par le conducteur, pour lesquels la garantie doit être souscrite.
Comment contacté un garage agrée ?;"Vous devez engager les frais de réparation auprès du réparateur même si actuellement certains garages vous permettent d’obtenir des délais de paiement. Vous devez ensuite faire une réclamation auprès de votre assureur afin d’accéder à vos remboursements.Si vous souhaitez vous orienté vers un garage agrée la prise en charge est rapide et les tarifs encadrés grâce à une grille tarifaire.
Il vous reste la franchise à payer, qui est déterminée dans le contrat etill n’y a pas de facture à transférer."
Quel est le délai de rétractation ?;Vous disposez d'un délai de 14 jours après la signature du contrat auto pour vous rétracter
Comment résilier mon assurance automobile ?;Vous pouvez résilier votre contrat à sa prochaine échéance principale. Vous devez en faire la demande par lettre recommandée avec accusé réception en respectant un préavis de deux mois. 
Accident sur parking, quelle prise charge ?;Il n'y a aucune particularité à un sinistre survenu sur un parking. Vous devez nous fournir le constat amiable à compléter et signer avec l'autre partie en cause.
Comment souscrire une assurance auto?;Le bris de glace couvre le pare-brise, l'ensemble des vitres latérales et arrière du véhicule, ainsi que les optiques de phares avant. Les feux arrières ne sont jamais couverts par la garantie bris de glace.
Quels type de véhicule puis-je assuré?;Nous assurons l'ensemble de la gamme des véhicules particuliers, dont la conduite est autorisée par le permis B, et dont la valeur est inférieure 45.000 euros.
Assurez-vous les voiturette ?;Les voiturettes font l'objet d'un contrat spécifique que nous ne proposons pas à ce jour.
Que risque t-on sans assurance ? ;Conduire sans assurance est un délit et expose à des sanctions sévères. Mais au-delà de des sanctions, cela revient à assumer seul les conséquences financières en cas d’accident grave avec dommages corporels ou dégâts importants à un autre véhicule.
Comment choisir mon assurance auto ?;Les deux-roues font l'objet d'un contrat spécifique que nous ne proposons pas à ce jour.
Le dépannage, remorquage sont-ils pris en charge ?;"Pour connaitre la date d'échéance de votre contrat, rendez vous dans la rubrique ""mes contrats"" de votre espace personnel "
Qu'est-ce qu'une franchise ?;"La franchise est la somme qui reste à la charge de l'assuré suite à un sinistre, pour en connaitre le montant rendez vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""mes documents"""
Comment suivre mes sinistres ?;"Pour suivre l'état de traitement de votre sinistre, rendez vous dans la rubrique ""mes contrats"" puis cliquez sur la rubrique ""mes sinistres"""
Changer mon contrat d'assurance;"Pour modifier vos garanties, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""nous contacter"" afin de formuler votre demande. "
l'assistant;Pour contacter notre service d'assistance, vous trouverez les coordonnées sur la carte verte.
comment vas-tu;Salut ! Je suis ici pour répondre à toutes vos questions, demandez-moi ce que vous voulez!
bonjour;Salut ! Comment je peux vous aider
bonsoir;Salut ! Comment je peux vous aider
hello;Salut !
salut;Salut
Souhaitez-vous savoir Comment obtenir un attestation d'assurance ?;"pour obtenir une attestation d'assurance, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""mes documents"""
comment ça va se passer l'expertise;Dans les 5 jours suivant votre déclaration, l'expert vous contactera par téléphone. Lors de ce premier échange, il estimera si l'expertise peut se faire par téléphone ou bien si il doit se déplacer
Comment se passe l’expertise ?;Dans les 5 jours suivant votre déclaration, l'expert vous contactera par téléphone. Lors de ce premier échange, il estimera si l'expertise peut se faire par téléphone ou bien si il doit se déplacer
oui;bon
d'accord;okay
Quels remboursement pour les soins courants ?;"Le montant du remboursement dépend de la formule souscrite. Pour consulter vos garanties, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents."
Quels remboursement pour les aides auditives ?;"Le montant du remboursement dépend de la formule souscrite. Pour consulter vos garanties, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents."
En cas d’hospitalisation, puis-je bénéficier d’une chambre particulière ?;"La prise en charge de la chambre seule en cas d'hospitalisation dépend de la formule souscrite. Pour consulter vos garanties et vérifier si vous pouvez en bénéficier, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents"
A qui dois-je envoyer mes feuilles de soins « remboursement santé » ?;Vous pouvez nous adresser toutes vos demandes de remboursement à l'adresse suivante ECA ASSURANCES BOITE POSTALE 83 92115 CLICHY CEDEX. Je répète l'adresse : ECA ASSURANCES BOITE POSTALE 83 92115 CLICHY CEDEX
Comment ajouter un bénéficiaire ?;Pour rajouter un ou plusieurs ayants droit qui bénéficieront ainsi des même garanties que vous, il vous suffit simplement d'effectuer votre demande en joignant l'attestations vitale depuis dans  votre Espace personnel puis cliquez sur la rubrique contact et séléctionnez envoyer une demande. 
Comment obtenir une prise en charge de mes soins ?;Vérifiez si  la télétransmission est activée entre votre régime obligatoire et la mutuelle vous n'avez aucune démarche à effectuer. Si votre régime obligatoire n'est pas encore relié, vous devez nous transmettre l'original de votre décompte de la sécurité sociale accompagné de tout justificatif de paiement par courrier.
Comment supprimer un bénéficiaire ?;Pour obtenir la radiation d'un ou plusieurs bénéficiaires, adressez nous un courrier recommandé et indiquez : Les noms et prénoms des bénéficiaires à radier, le ou les contrat(s) concerné(s), ainsi que le motif et un justificatif. La suppression sera effective lors de l'échéance annuelle de votre contrat. 
Comment simuler un remboursement santé ?;"Vous pouvez nous transmettre votre devis pour connaître le montant de notre participation. Rendez-vous en page d'accueil de votre espace personnel puis cliquez sur sur ""contactez-nous"""
"Comment accéder à mes contacts ""Eca""";Pour accéder à la liste des contacts ECA SSURANCES ainsi qu'aux coordonnées, rendez-vous sur votre page d'acceuil de votre Espace personnel. 
Comment modifier mes informations personnelles/bancaires  ?;"Pour modifier vos données, il vous suffit de vous connecter à votre espace personnel puis cliquez sur la rubrique "" mes données personnelles"". Vous pourrez ainsi modifier l'ensemble de vos données."
Comment suis-je couverte en cas de grossesse ?;La prise en charge pour la maternité dépend de la formule souscrite. Pour consulter vos garanties et vérifier si vous pouvez en bénéficier,  connectez-vous à votre Espace Personnel, puis cliquez sur la rubrique mes contrats.
Quelle est la date d'échéance de mon contrat ?;La date d'échéance de votre contrat est le XX/XX/XXXX 
Suis-je remboursé en cas de dépassement d'honoraire ?;La prise en charge des dépassements d'honoraires dépend de la formule souscrite. Pour consulter vos garanties et vérifier si vous pouvez en bénéficier, rendez-vous dans la rubrique mon contrat de votre Espace Personnel, puis cliquez sur mes documents.
Dois-je avancer mes frais ?;si vous disposez d'une carte de tiers-payant vous n'avez aucune avance de frais pour un soin, une consultation ou un achat en pharmacie par exemple.  Il vous suffit juste de la présenter directement à votre professionnel de santé.
Comment consulter mon contrat/mes garanties  ?;Pour consulter votre contrat, rendez-vous dans la rubrique mon contrat de votre Espace Personnel, et pour accéder à votre tableau de garanties cliquez sur mes documents.
Sous quels délais mes dépenses de santé sont-elles remboursées ?;Pour toute avance de frais, le délai est de 72 heures à compter de la réception des informations de la part de votre régime obligatoire. Vos remboursements seront versés automatiquement sur votre compte bancaire.
Comment recevoir mon tableau de garanties ?;Pour obtenir votre tableau de garanties rendez-vous dans la rubrique mon contrat de votre Espace Personnel, puis cliquez sur mes documents. Vous pourrez le télécharger et l'imprimer.
Puis-je changer de formule ?;Il est tout à fait possible de modifier votre contrat d’assurance santé pour augmenter vos garanties. Pour cela rendez-vous dans la rubrique mon contrat de votre Espace Personnel, puis cliquez sur nous contacter.
 Comment suivre mes remboursements santé ?;Pour suivre vos derniers remboursements  rendez-vous dans la rubrique mon contrat de votre Espace Personnel, puis cliquez sur mes remboursments.
Comment se faire rembourser d'une Teleconsultation ?;Dans le cas où la télétransmission entre votre régime obligatoire et la mutuelle est activée vous n'avez aucune démarche à effectuer, tous les paiements sont en transmission automatique. Si votre régime obligatoire n'est pas encore relié, vous devez transmettre votre décompte de la sécurité sociale accompagné de tout justificatif de paiement.
Comment savoir si le praticien pratique le tiers payant ?; Les professionnels de santé qui le souhaitent ont la possibilité de proposer, à tous leurs patients, le tiers payant. Il vous suffit uniquement d'en faire la demande au moment de votre prise de rendez-vous.
 Comment me faire rembourser mes frais de santé à l’étranger ?;Rendez-vous sur le site ameli.fr puis complétez le formulaire CERFA 12267. Une fois remplit transmettez le à votre régime obligatoire. Sachez que les prestations seront ensuite transmises automatiquement à la mutuelle si vous bénéficiez de la transmission automatique.
Puis-je télécharger ma carte de tiers payant ?;Pour télécharger et imprimer votre carte de tiers-payant, rendez-vous dans la rubrique mon contrat de votre Espace Personnel, puis cliquez sur mes documents.
J’ai perdu ma carte de tiers payant? ;Pour télécharger et imprimer votre carte de tiers-payant, rendez-vous dans la rubrique mon contrat de votre Espace Personnel, puis cliquez sur mes documents.
 A qui dois-je envoyer mes feuilles de soins ?;Dans le cas où vous n'avez pas présenté votre carte vitale, vous devez envoyer votre feuille de soins à votre caisse primaire d'assurance maladie.
 Quels sont les services d’assistance en cas d’hospitalisation ?;En cas d'hospitalisation et si vous bénéficiez de l'assistance, plusieurs services vous permettent de rendre votre sejour plus agréable comme , l'Aide à domicile,l'Aide ménagère, la Garde d’animaux de compagnie. Pour en bénéficier, contactez notre partenaire FILASSISTANCE au 01 70 36 06 52. Je repète le numéro : 01 70 36 06 52
Comment signaler mon changement de régime de sécurité sociale ?;En cas de changement de régime obligatoire de Sécurité sociale, il est impératif de nous le signaler en nous transmettant uniquement la copie de votre nouvelle attestation vitale.
Quelles formalités en cas de naissance ?;Pour déclarer la naissance de votre enfant, il vous suffit simplement de nous transmettre un acte de naissance ainsi qu'une attestation d'ouverture de droits au régime obligatoire.
Comment se faire rembourser le forfait journalier en hospitalisation ?;Dans le cas où vous n'avez pas fait au préalable une demande de prise en charge hospitalière et que vous avez réglé le forfait journalier, vous devez nous  adresser l'attestation de paiement ainsi que l'avis des sommes à payer.
 Comment activer la télétransmission ?;Pour mettre en place les échanges automatiques avec votre régime obligatoire, il vous suffit de nous transmettre votre attestation vitale. La télétransmission sera effective sous 8 jours après notre demande.
Comment fait-on pour joindre un conseiller ?;Notre service relations clients est disponible au 09 69 32 04 18 du lundi au vendredi de 9h00 à 18h00 et le samedi de 9h00 à 13h00. Je répète le numéro : 09 69 32 04 18
Comment consulter mes derniers remboursement ?;Pour consulter vos derniers remboursements  rendez-vous dans la rubrique mon contrat de votre Espace Personnel, puis cliquez sur mes remboursments.
Comment modifier mon moyen de paiement ?;Pour modifier votre mode de paiment de votre cotisation. Il vous suffit de nous en faire la demande par mail. Sous réserve de son acceptation, la modification interviendra à la prochaine échéance annuelle de votre contrat.
Comment annuler la télétransmission ?;La transmission automatique permet à la mutuelle de vous rembourser plus rapidement. Si vous ne souhaitez pas en bénéficier, rendez-vous dans la rubrique mon contrat de votre Espace Personnel, puis cliquez sur nous contacter. Nous ne recevrons plus vos demandes de remboursements complémentaires et celles-ci devront être envoyées par vous meme par courrier.
Comment modifier son contrat santé ?;"Pour modifier votre contrat d’assurance santé pour augmenter vos garanties. rendez-vous dans la rubrique mon contrat de votre Espace Personnel, puis cliquez sur ""nous contacter"" et formuler votre demande,"
Comment joindre le service remboursement ?;Vous pouvez contacter notre service relations clients au 09 69 32 04 18 du lundi au vendredi de 9h00 à 18h00 et le samedi de 9h00 à 13h00. Je répète le numéro : 09 69 32 04 18
Que faire en cas de rejet de prélevement bancaire  ?;"Dès lors que vous constatez le rejet des prélèvements, vous pouvez régulariser votre cotisation sur votre espace personnel dans la rubrique ""mon contrat"" puis cliquez sur la cotisation à régler."
Quelle est le délai de renonciation ?;Vous bénéficiez d’un délai de rétractation de 14 jours calendaires à compter de la date de souscription . Pour faire valoir votre droit de rétractation, vous pouvez nous adresser votre demande depuis votre espace personnel dans la rubrique mes conttrats puis cliquez sur nous contacter.
Les frais d’ostéopathie sont-ils remboursés ?;"Cela dépend de la formule souscrite. Pour consulter vos garanties, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents"
Les cures thermales sont-elles prises en charge ?;"Cela dépend de la formule souscrite. Pour consulter vos garanties, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents"
Comment ne pas faire l’avance de mes frais de soins ?; Le tiers payant est un moyen qui vous permet de ne pas avoir à avancer vos frais de soins. Il vous suffit de présenter votre carte vitale ainsi que votre carte de tiers-payant mutuelle.
Comment changer la date de mon prélèvement bancaire ?;le jour officiel des prélèvements est le 10 du mois. Mais en fonction des week-end et jours fériés les prélèvements peuvent être présentés entre le 8 et le 11.
Comment effectuer une réclamation ?;"Si vous souhaitez formuler une réclamation,  rendez vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur nous contacter"
 Comment se faire rembourser ses frais de santé ?;Pour les soins non pris en charge par la Sécurité sociale et dans le cas où vous auriez fait l'avance des frais, adressez nous  les factures détaillées et acquittées originales accompagnées du décompte de la sécurité de sociale.
Quelles formalités en cas de décès ?;En cas de décès, il convient d'envoyer l'acte de décès à la mutuelle du défunt. 
J’ai changé de coordonnées, que dois-je faire ?;Pour modifier vos coordonnées, rendez-vous en page d'accueil de votre espace personnel puis accéder directement à vos données personnelles pour toute modification. 
 Je me suis marié, quelles sont les démarches ?;Vous devez transmettre  à la mutuelle une copie de l’acte de mariage ou du livret de famille accompagnée de l’attestation de Sécurité sociale actualisée du conjoint doit être .
 Quelles démarches en cas de déménagement ?;En cas de déménagement, rendez-vous en page d'acceuil de votre espace personnel puis accéder directement à vos données personnelles pour toute modification.  Si vous avez changé de département, pensez bien à nous adresser votre nouvelle attestation vitale .
Comment obtenir un certificat de radiation ?;Si votre contrat est résilié, votre certificat de radiation sera transmis automatiquement par courrier et par mail.
Quelle est la validité de ma carte de tiers-payant ?;Votre carte de tiers-payant  est valable pendant une durée de six mois, sous réserve d’être à jour du paiement des cotisations. Cette carte est ensuite renouvellée automatiquement.
Quand vais-je recevoir ma carte de tiers-payant ?;Votre carte de tiers-payant est envoyée 5 jours avant la date de début de votre contrat. Si votre contrat a déjà démarré, alors elle sera transmise 5 jours après la date de signature.
Quelles sont les disponibilités du service client ?;Vous pouvez contacter notre service relations clients au 09 69 32 04 18 du lundi au vendredi de 9h00 à 18h00 et le samedi de 9h00 à 13h00. Je répète le numéro : 09 69 32 04 18
Quelle prise en charge pour les frais d’optique ?;"Cela dépend de la formule souscrite. Pour consulter vos garanties, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents"
Que faire en cas changement de ma situation familiale ?;Si vous souhaitez mettre à jour votre situation familiale,  rendez-vous en page d'accueil de votre espace personnel puis accéder directement à vos données personnelles pour toute modification. Sachez qu'il est possible que nous revenions vers vous pour vous demandez des pièces justificatives.
Comment fonctionne mes remboursements d’optique ? Quel remboursement pour mes frais d'optique ?;"Cela dépend de la formule souscrite. Pour consulter vos garanties, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents. Vous pouvez d'ores et déjà demandé un devis auprès de votre opticien."
Comment sont remboursé les soins dentaires ? Quel remboursement pour mes soins dentaire ?;"Cela dépend de la formule souscrite. Pour consulter vos garanties, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents.. Vous pouvez d'ores et déjà demandé un devis auprès de votre dentiste."
Comment est remboursé une chambre particulière ? Quel remboursement pour une chambre particulière ? ;"Cela dépend de la formule souscrite. Pour consulter vos garanties, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents."
Comment se faire rembourser en cas d’avance de ses frais de santé ?;Dans le cas ou vous auriez fait l'avance des frais, il convient d'adresser  les factures détaillées et acquittées originales accompagnées du décompte de la sécurité de sociale.
Comment obtenir le remboursement de la médecine douce?;Si votre garantie prévoit cette prestation, il convient de nous adresser  les factures détaillées et acquittées originales.
Pratiquez-vous le tiers payant ?;Nous pratiquons le tiers payant avec tous les professionnels et etablissements de santé qui acceptent ce dispositif. Il vous permet d'etre dispensé de l'avance de frais de santé. Il vous suffira simplement de présenter votre carte de tiers-payant.
Que couvre les frais optiques ?;"Cela dépend de la formule souscrite. Pour consulter vos garanties, rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents."
Ai-je droit à la prime de naissance ?;"Le versement de la prime de naissance dépend de la formule souscrite. rendez vous dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents."
Que couvre les frais d'hospitalisation ?;"Pour savoir ce que couvre les frais d'hospitalisations, il faut vous référer à votre tableau de garantie que vous pouvez retrouver dans la rubrique ""mes conrats"" de votre espace personnel puis cliquez sur mes documents ."
